Query_Sequence	Database_EggNOG_Protein_Domains
TRINITY_DN5689_c0_g1_i8.p1	EGF
TRINITY_DN7567_c0_g1_i19.p1	CH
TRINITY_DN24234_c0_g1_i26.p1	CREPT
TRINITY_DN1816_c0_g1_i2.p1	AP3B1_C
TRINITY_DN1816_c0_g1_i2.p1	Adaptin_N
TRINITY_DN3629_c0_g1_i78.p1	DUF1908
TRINITY_DN3629_c0_g1_i78.p1	PDZ
TRINITY_DN4556_c0_g1_i2.p1	PH
TRINITY_DN4556_c0_g1_i2.p1	RhoGEF
TRINITY_DN4556_c0_g1_i2.p1	SH3_1
TRINITY_DN1608_c2_g2_i1.p1	C4
TRINITY_DN4250_c0_g1_i1.p1	I-set
TRINITY_DN4250_c0_g1_i1.p1	Ig_3
TRINITY_DN4250_c0_g1_i1.p1	Pkinase_Tyr
TRINITY_DN4748_c1_g1_i3.p1	DUF4147
TRINITY_DN9553_c0_g1_i2.p1	Longin
TRINITY_DN42037_c0_g1_i3.p1	Hydrolase_6
TRINITY_DN4597_c0_g1_i2.p1	Proteasome
TRINITY_DN2911_c0_g1_i1.p1	EF-hand_1
TRINITY_DN2667_c1_g1_i1.p1	Kazal_2
TRINITY_DN24206_c0_g2_i3.p1	CUB
TRINITY_DN24206_c0_g2_i3.p1	EGF
TRINITY_DN24206_c0_g2_i3.p1	EGF_3
TRINITY_DN24206_c0_g2_i3.p1	EGF_CA
TRINITY_DN3049_c0_g2_i2.p1	CUB
TRINITY_DN3049_c0_g2_i2.p1	EGF_CA
TRINITY_DN3049_c0_g2_i2.p1	I-set
TRINITY_DN3049_c0_g2_i2.p1	Ig_3
TRINITY_DN3049_c0_g2_i2.p1	RCC1_2
TRINITY_DN3049_c0_g2_i2.p1	REJ
TRINITY_DN16714_c0_g1_i5.p1	Runt
TRINITY_DN2499_c0_g1_i65.p1	C2
TRINITY_DN2499_c0_g1_i65.p1	HECT
TRINITY_DN1833_c23_g1_i7.p1	C1q
TRINITY_DN23489_c0_g2_i2.p1	APC_15a
TRINITY_DN23489_c0_g2_i2.p1	APC_N_CC
TRINITY_DN23489_c0_g2_i2.p1	APC_basic
TRINITY_DN23489_c0_g2_i2.p1	APC_r
TRINITY_DN23489_c0_g2_i2.p1	APC_u13
TRINITY_DN23489_c0_g2_i2.p1	APC_u14
TRINITY_DN23489_c0_g2_i2.p1	APC_u15
TRINITY_DN23489_c0_g2_i2.p1	APC_u5
TRINITY_DN23489_c0_g2_i2.p1	APC_u9
TRINITY_DN23489_c0_g2_i2.p1	Arm
TRINITY_DN23489_c0_g2_i2.p1	Arm_APC_u3
TRINITY_DN23489_c0_g2_i2.p1	EB1_binding
TRINITY_DN23489_c0_g2_i2.p1	SAMP
TRINITY_DN22168_c0_g2_i2.p1	APC_15a
TRINITY_DN22168_c0_g2_i2.p1	APC_N_CC
TRINITY_DN22168_c0_g2_i2.p1	APC_basic
TRINITY_DN22168_c0_g2_i2.p1	APC_r
TRINITY_DN22168_c0_g2_i2.p1	APC_u13
TRINITY_DN22168_c0_g2_i2.p1	APC_u14
TRINITY_DN22168_c0_g2_i2.p1	APC_u15
TRINITY_DN22168_c0_g2_i2.p1	APC_u5
TRINITY_DN22168_c0_g2_i2.p1	APC_u9
TRINITY_DN22168_c0_g2_i2.p1	Arm
TRINITY_DN22168_c0_g2_i2.p1	Arm_APC_u3
TRINITY_DN22168_c0_g2_i2.p1	EB1_binding
TRINITY_DN22168_c0_g2_i2.p1	SAMP
TRINITY_DN701_c0_g1_i5.p1	DSPc
TRINITY_DN47245_c0_g1_i1.p1	Activin_recp
TRINITY_DN47245_c0_g1_i1.p1	Pkinase
TRINITY_DN24077_c0_g1_i2.p1	CH
TRINITY_DN24077_c0_g1_i2.p1	DUF3585
TRINITY_DN466_c0_g1_i21.p1	CHGN
TRINITY_DN3767_c2_g2_i1.p1	Pkinase_Tyr
TRINITY_DN3767_c2_g2_i1.p1	SH2
TRINITY_DN5361_c4_g1_i1.p1	VWA
TRINITY_DN31302_c0_g1_i8.p1	CH
TRINITY_DN14414_c0_g1_i44.p1	COR
TRINITY_DN14414_c0_g1_i44.p1	LRR_4
TRINITY_DN14414_c0_g1_i44.p1	LRR_8
TRINITY_DN14414_c0_g1_i44.p1	Pkinase
TRINITY_DN4284_c0_g1_i1.p1	Orn_Arg_deC_N
TRINITY_DN13332_c0_g1_i3.p1	EF-hand_2
TRINITY_DN13332_c0_g1_i3.p1	EF-hand_3
TRINITY_DN8726_c8_g1_i6.p1	DUF4749
TRINITY_DN8726_c8_g1_i6.p1	LIM
TRINITY_DN1211_c2_g1_i5.p1	A1_Propeptide
TRINITY_DN132274_c0_g1_i1.p1	LRRCT
TRINITY_DN132274_c0_g1_i1.p1	LRR_4
TRINITY_DN132274_c0_g1_i1.p1	LRR_6
TRINITY_DN132274_c0_g1_i1.p1	LRR_8
TRINITY_DN4714_c1_g2_i1.p1	Pep_M12B_propep
TRINITY_DN4714_c1_g2_i1.p1	Reprolysin
TRINITY_DN19904_c0_g2_i2.p1	Tubulin
TRINITY_DN14681_c0_g1_i36.p1	PDZ
TRINITY_DN14681_c0_g1_i36.p1	PH
TRINITY_DN14681_c0_g1_i36.p1	PH_9
TRINITY_DN10477_c0_g1_i21.p1	RRM_1
TRINITY_DN17588_c0_g1_i3.p1	DEAD
TRINITY_DN7083_c0_g1_i1.p1	C1q
TRINITY_DN7567_c0_g2_i4.p1	CH
TRINITY_DN25508_c0_g1_i4.p1	Cytochrom_B561
TRINITY_DN25508_c0_g1_i4.p1	DOMON
TRINITY_DN1899_c1_g4_i2.p1	Drf_FH3
TRINITY_DN1899_c1_g4_i2.p1	Drf_GBD
TRINITY_DN613_c0_g1_i64.p1	Cadherin
TRINITY_DN613_c0_g1_i64.p1	Laminin_G_2
TRINITY_DN13430_c2_g1_i4.p1	Sulfotransfer_1
TRINITY_DN62443_c0_g1_i2.p1	Ribosomal_S13_N
TRINITY_DN1374_c2_g1_i1.p1	EF-hand_1
TRINITY_DN1374_c2_g1_i1.p1	EF-hand_5
TRINITY_DN1374_c2_g1_i1.p1	EF-hand_6
TRINITY_DN478_c0_g1_i5.p1	FG-GAP
TRINITY_DN478_c0_g1_i5.p1	Integrin_alpha
TRINITY_DN1685_c0_g1_i8.p1	Tropomyosin
TRINITY_DN5498_c0_g2_i7.p1	UDPG_MGDP_dh
TRINITY_DN5498_c0_g2_i7.p1	UDPG_MGDP_dh_C
TRINITY_DN1261_c0_g1_i5.p1	EF1G
TRINITY_DN1261_c0_g1_i5.p1	GST_C
TRINITY_DN14589_c0_g1_i1.p1	ABC_tran
TRINITY_DN4585_c0_g1_i3.p1	E1_4HB
TRINITY_DN4585_c0_g1_i3.p1	E1_FCCH
TRINITY_DN4585_c0_g1_i3.p1	E1_UFD
TRINITY_DN4585_c0_g1_i3.p1	ThiF
TRINITY_DN803_c1_g1_i20.p1	ASD1
TRINITY_DN803_c1_g1_i20.p1	ASD2
TRINITY_DN8141_c0_g1_i1.p1	EF-hand_6
TRINITY_DN11773_c0_g1_i322.p1	AAA
TRINITY_DN25348_c2_g1_i1.p1	FERM_M
TRINITY_DN25348_c2_g1_i1.p1	IQ
TRINITY_DN25348_c2_g1_i1.p1	MyTH4
TRINITY_DN674_c59_g1_i1.p1	AAA
TRINITY_DN674_c59_g1_i1.p1	MIT
TRINITY_DN6763_c0_g1_i2.p1	I-set
TRINITY_DN6763_c0_g1_i2.p1	Ig_3
TRINITY_DN9017_c0_g1_i12.p1	PBD
TRINITY_DN11521_c0_g1_i7.p1	Vert_IL3-reg_TF
TRINITY_DN756_c0_g1_i3.p1	Drf_FH3
TRINITY_DN756_c0_g1_i3.p1	Drf_GBD
TRINITY_DN756_c0_g1_i3.p1	FH2
TRINITY_DN7413_c0_g1_i31.p1	KA1
TRINITY_DN7764_c0_g1_i3.p1	I-set
TRINITY_DN9547_c0_g1_i97.p1	CH
TRINITY_DN1253_c0_g1_i14.p1	Hemopexin
TRINITY_DN1253_c0_g1_i14.p1	PG_binding_1
TRINITY_DN188_c0_g1_i6.p1	CH
TRINITY_DN32769_c5_g1_i1.p1	CH
TRINITY_DN15534_c1_g1_i1.p1	Myb_DNA-binding
TRINITY_DN491_c0_g1_i28.p1	C8
TRINITY_DN491_c0_g1_i28.p1	VWC
TRINITY_DN7210_c1_g2_i2.p1	DUF4414
TRINITY_DN7210_c1_g2_i2.p1	DUF908
TRINITY_DN7210_c1_g2_i2.p1	DUF913
TRINITY_DN7210_c1_g2_i2.p1	HECT
TRINITY_DN7210_c1_g2_i2.p1	UBA
TRINITY_DN6233_c0_g1_i6.p1	zf-B_box
TRINITY_DN1098_c3_g1_i4.p1	Ets
TRINITY_DN7385_c0_g1_i14.p1	Ank_2
TRINITY_DN7385_c0_g1_i14.p1	Ank_3
TRINITY_DN7385_c0_g1_i14.p1	Ank_4
TRINITY_DN7385_c0_g1_i14.p1	Ank_5
TRINITY_DN7457_c0_g1_i17.p1	ABC2_membrane
TRINITY_DN2018_c0_g1_i2.p1	Nup153
TRINITY_DN2018_c0_g1_i2.p1	Nup_retrotrp_bd
TRINITY_DN71770_c0_g2_i1.p1	Pkinase_Tyr
TRINITY_DN71770_c0_g2_i1.p1	SH2
TRINITY_DN71770_c0_g2_i1.p1	SH3_1
TRINITY_DN7567_c0_g2_i1.p1	CH
TRINITY_DN106_c0_g1_i16.p1	I-set
TRINITY_DN106_c0_g1_i16.p1	Ig_3
TRINITY_DN106_c0_g1_i16.p1	Pkinase
TRINITY_DN12355_c0_g1_i2.p1	CH
TRINITY_DN7691_c0_g1_i7.p1	SH3_1
TRINITY_DN7691_c0_g1_i7.p1	SH3_9
TRINITY_DN9008_c0_g2_i1.p1	ABC_membrane
TRINITY_DN23228_c0_g1_i9.p1	Ribosomal_S5
TRINITY_DN11936_c0_g1_i71.p1	C1_1
TRINITY_DN11936_c0_g1_i71.p1	PTB
TRINITY_DN11936_c0_g1_i71.p1	PTEN_C2
TRINITY_DN44756_c0_g3_i1.p1	zf-C2H2
TRINITY_DN181610_c0_g1_i1.p1	3Beta_HSD
TRINITY_DN21514_c0_g1_i1.p1	PCI
TRINITY_DN1414_c0_g1_i3.p1	C1q
TRINITY_DN13242_c0_g1_i8.p1	Med26
TRINITY_DN13242_c0_g1_i8.p1	TFIIS_C
TRINITY_DN9411_c2_g1_i7.p1	DUF3657
TRINITY_DN918_c3_g1_i2.p1	Glyco_transf_7C
TRINITY_DN9382_c0_g2_i2.p1	P_proprotein
TRINITY_DN9382_c0_g2_i2.p1	Peptidase_S8
TRINITY_DN6169_c0_g2_i11.p1	DUF3740
TRINITY_DN16698_c0_g1_i4.p1	AMP-binding
TRINITY_DN15967_c0_g1_i31.p1	CTNNB1_binding
TRINITY_DN1_c4_g2_i6.p1	EGF
TRINITY_DN1_c4_g2_i6.p1	EGF_2
TRINITY_DN1_c4_g2_i6.p1	EGF_CA
TRINITY_DN1_c4_g2_i6.p1	FXa_inhibition
TRINITY_DN1_c4_g2_i6.p1	Laminin_EGF
TRINITY_DN1_c4_g2_i6.p1	cEGF
TRINITY_DN22451_c0_g2_i1.p1	Hemopexin
TRINITY_DN22451_c0_g2_i1.p1	PG_binding_1
TRINITY_DN3669_c0_g1_i27.p1	TGF_beta
TRINITY_DN4317_c0_g1_i1.p1	UCH
TRINITY_DN5808_c0_g1_i14.p1	C1q
TRINITY_DN21443_c0_g1_i13.p1	LIM
TRINITY_DN21941_c0_g2_i1.p1	EF-hand_1
TRINITY_DN21941_c0_g2_i1.p1	EF-hand_6
TRINITY_DN21941_c0_g2_i1.p1	EF-hand_7
TRINITY_DN4250_c0_g3_i1.p1	I-set
TRINITY_DN4250_c0_g3_i1.p1	Ig_3
TRINITY_DN4250_c0_g3_i1.p1	Pkinase_Tyr
TRINITY_DN2331_c0_g2_i4.p1	LIM
TRINITY_DN6291_c0_g1_i1.p1	E2_bind
TRINITY_DN9279_c0_g1_i37.p1	GRAM
TRINITY_DN9279_c0_g1_i37.p1	SRCR
TRINITY_DN3293_c0_g1_i2.p1	Aurora-A_bind
TRINITY_DN3293_c0_g1_i2.p1	TPX2
TRINITY_DN5999_c1_g2_i1.p1	HH_signal
TRINITY_DN231543_c0_g1_i1.p1	Astacin
TRINITY_DN231543_c0_g1_i1.p1	CUB
TRINITY_DN231543_c0_g1_i1.p1	MAM
TRINITY_DN30133_c0_g1_i10.p1	Dynamin_N
TRINITY_DN8475_c1_g1_i2.p1	FERM_M
TRINITY_DN8475_c1_g1_i2.p1	IQ
TRINITY_DN8475_c1_g1_i2.p1	MyTH4
TRINITY_DN8475_c1_g1_i2.p1	Myosin_head
TRINITY_DN27320_c0_g1_i4.p1	I-set
TRINITY_DN27320_c0_g1_i4.p1	IGFBP
TRINITY_DN27320_c0_g1_i4.p1	Ig_3
TRINITY_DN27320_c0_g1_i4.p1	Kazal_1
TRINITY_DN9393_c0_g1_i12.p1	Homeobox
TRINITY_DN20213_c3_g1_i1.p1	CS
TRINITY_DN20213_c3_g1_i1.p1	UCH
TRINITY_DN20213_c3_g1_i1.p1	USP19_linker
TRINITY_DN2404_c1_g1_i5.p1	HS1_rep
TRINITY_DN2404_c1_g1_i5.p1	SH3_1
TRINITY_DN5880_c0_g1_i53.p1	zf-AD
TRINITY_DN5880_c0_g1_i53.p1	zf-C2H2
TRINITY_DN5880_c0_g1_i53.p1	zf-C2H2_4
TRINITY_DN5880_c0_g1_i53.p1	zf-C2H2_6
TRINITY_DN1333_c0_g1_i1.p1	Dynamin_N
TRINITY_DN356_c5_g1_i1.p1	EGF_CA
TRINITY_DN356_c5_g1_i1.p1	G2F
TRINITY_DN356_c5_g1_i1.p1	I-set
TRINITY_DN356_c5_g1_i1.p1	Ig_3
TRINITY_DN1356_c0_g1_i97.p1	Pkinase
TRINITY_DN2161_c8_g1_i2.p1	He_PIG
TRINITY_DN2161_c8_g1_i2.p1	RHS_repeat
TRINITY_DN80_c0_g2_i1.p1	Death
TRINITY_DN3999_c26_g1_i1.p1	Calpain_III
TRINITY_DN3999_c26_g1_i1.p1	EF-hand_5
TRINITY_DN3999_c26_g1_i1.p1	EF-hand_6
TRINITY_DN3999_c26_g1_i1.p1	EF-hand_8
TRINITY_DN5362_c0_g1_i26.p1	Ctr
TRINITY_DN47219_c0_g1_i1.p1	C2
TRINITY_DN47219_c0_g1_i1.p1	Calpain_III
TRINITY_DN17604_c1_g1_i7.p1	KH_1
TRINITY_DN11936_c0_g1_i29.p1	C1_1
TRINITY_DN11936_c0_g1_i29.p1	PTB
TRINITY_DN11936_c0_g1_i29.p1	PTEN_C2
TRINITY_DN31302_c0_g1_i11.p1	CH
TRINITY_DN161414_c0_g1_i1.p1	HMG_box
TRINITY_DN28313_c0_g1_i1.p1	WD40
TRINITY_DN234019_c0_g1_i1.p1	ABC_tran
TRINITY_DN234019_c0_g1_i1.p1	Fer4
TRINITY_DN6403_c0_g3_i1.p1	AdoHcyase
TRINITY_DN19019_c0_g1_i5.p1	Cadherin_3
TRINITY_DN2688_c0_g1_i32.p1	MA3
TRINITY_DN2688_c0_g1_i32.p1	MIF4G
TRINITY_DN15258_c0_g1_i14.p1	LRRCT
TRINITY_DN15258_c0_g1_i14.p1	LRR_4
TRINITY_DN15258_c0_g1_i14.p1	LRR_6
TRINITY_DN15258_c0_g1_i14.p1	LRR_8
TRINITY_DN29394_c0_g1_i23.p1	Anillin
TRINITY_DN2018_c0_g1_i5.p1	Nup153
TRINITY_DN2018_c0_g1_i5.p1	Nup_retrotrp_bd
TRINITY_DN3365_c0_g1_i11.p1	LRR_5
TRINITY_DN3365_c0_g1_i11.p1	LRR_8
TRINITY_DN68335_c0_g2_i1.p1	Chorein_N
TRINITY_DN68335_c0_g2_i1.p1	SHR-BD
TRINITY_DN68335_c0_g2_i1.p1	VPS13
TRINITY_DN68335_c0_g2_i1.p1	VPS13_C
TRINITY_DN9279_c0_g1_i5.p1	GRAM
TRINITY_DN9279_c0_g1_i5.p1	SRCR
TRINITY_DN680_c7_g1_i1.p1	Acyl-CoA_dh_1
TRINITY_DN680_c7_g1_i1.p1	Acyl-CoA_dh_M
TRINITY_DN83_c7_g1_i1.p1	C4
TRINITY_DN9547_c0_g1_i53.p1	CH
TRINITY_DN18511_c8_g1_i1.p1	Tubulin
TRINITY_DN5173_c0_g1_i2.p1	LIM
TRINITY_DN5173_c0_g1_i2.p1	Nebulin
TRINITY_DN5173_c0_g1_i2.p1	SH3_1
TRINITY_DN2890_c0_g1_i39.p1	PBD
TRINITY_DN2890_c0_g1_i39.p1	Pkinase_Tyr
TRINITY_DN12928_c1_g1_i3.p1	I-set
TRINITY_DN12928_c1_g1_i3.p1	Ig_3
TRINITY_DN774_c0_g1_i1.p1	Furin-like
TRINITY_DN774_c0_g1_i1.p1	GF_recep_IV
TRINITY_DN774_c0_g1_i1.p1	Pkinase_Tyr
TRINITY_DN8967_c4_g1_i8.p1	Collagen
TRINITY_DN8967_c4_g1_i8.p1	Kunitz_BPTI
TRINITY_DN7385_c0_g1_i3.p1	Ank_2
TRINITY_DN7385_c0_g1_i3.p1	Ank_3
TRINITY_DN7385_c0_g1_i3.p1	Ank_4
TRINITY_DN7385_c0_g1_i3.p1	Ank_5
TRINITY_DN4693_c1_g1_i2.p1	Metallophos
TRINITY_DN4693_c1_g1_i2.p1	Metallophos_C
TRINITY_DN9173_c0_g1_i1.p1	Frizzled
TRINITY_DN10842_c3_g1_i2.p1	RA
TRINITY_DN10842_c3_g1_i2.p1	SH2
TRINITY_DN89606_c0_g1_i4.p1	GST_C_6
TRINITY_DN2683_c1_g1_i7.p1	Gelsolin
TRINITY_DN4176_c0_g1_i5.p1	A2M
TRINITY_DN4176_c0_g1_i5.p1	A2M_N
TRINITY_DN4176_c0_g1_i5.p1	A2M_N_2
TRINITY_DN4176_c0_g1_i5.p1	A2M_comp
TRINITY_DN4176_c0_g1_i5.p1	A2M_recep
TRINITY_DN8255_c0_g1_i4.p1	LIM
TRINITY_DN5527_c2_g1_i2.p1	FG-GAP
TRINITY_DN5527_c2_g1_i2.p1	Integrin_alpha
TRINITY_DN5527_c2_g1_i2.p1	Integrin_alpha2
TRINITY_DN8726_c8_g1_i5.p1	DUF4749
TRINITY_DN8726_c8_g1_i5.p1	LIM
TRINITY_DN2688_c0_g1_i38.p1	MA3
TRINITY_DN2688_c0_g1_i38.p1	MIF4G
TRINITY_DN8436_c0_g1_i4.p1	EGF_CA
TRINITY_DN8436_c0_g1_i4.p1	SEA
TRINITY_DN8436_c0_g1_i4.p1	WAP
TRINITY_DN14567_c0_g2_i11.p1	GPS2_interact
TRINITY_DN45757_c0_g1_i3.p1	EF-hand_1
TRINITY_DN45757_c0_g1_i3.p1	EF-hand_5
TRINITY_DN45757_c0_g1_i3.p1	EF-hand_7
TRINITY_DN5702_c0_g1_i49.p1	PSI
TRINITY_DN5702_c0_g1_i49.p1	Plexin_cytopl
TRINITY_DN5702_c0_g1_i49.p1	Sema
TRINITY_DN89606_c0_g1_i8.p1	GST_C_6
TRINITY_DN58448_c0_g1_i29.p1	MOZ_SAS
TRINITY_DN6166_c0_g5_i2.p1	MTS
TRINITY_DN29394_c0_g1_i29.p1	Anillin
TRINITY_DN5672_c0_g1_i105.p1	I-set
TRINITY_DN5672_c0_g1_i105.p1	Pkinase
TRINITY_DN22816_c0_g1_i20.p1	Disintegrin
TRINITY_DN22816_c0_g1_i20.p1	Pep_M12B_propep
TRINITY_DN22816_c0_g1_i20.p1	Reprolysin_2
TRINITY_DN1112_c0_g2_i1.p1	Glyco_hydro_59
TRINITY_DN5778_c0_g1_i18.p1	EBP50_C
TRINITY_DN188_c0_g1_i7.p1	CH
TRINITY_DN8430_c0_g1_i50.p1	PH
TRINITY_DN8430_c0_g1_i50.p1	RhoGEF
TRINITY_DN8430_c0_g1_i50.p1	SH3_1
TRINITY_DN1608_c2_g1_i1.p1	C4
TRINITY_DN3831_c0_g1_i13.p1	EGF
TRINITY_DN3831_c0_g1_i13.p1	Ephrin_rec_like
TRINITY_DN3831_c0_g1_i13.p1	Pentaxin
TRINITY_DN3831_c0_g1_i13.p1	Sushi
TRINITY_DN3831_c0_g1_i13.p1	VWA
TRINITY_DN3698_c0_g1_i32.p1	GST_C
